Date;Road;Air
03/14/2014 12:00:00 AM;54.65;48.59
03/14/2014 01:00:00 AM;53.97;48.98
03/14/2014 02:00:00 AM;53.4;49.14
03/14/2014 03:00:00 AM;52.98;49.27
03/14/2014 04:00:00 AM;52.57;49.57
03/14/2014 05:00:00 AM;52.28;49.71
03/14/2014 06:00:00 AM;52.07;50.05
03/14/2014 07:00:00 AM;52.02;50.53
03/14/2014 08:00:00 AM;52.29;50.35
03/14/2014 09:00:00 AM;52.41;50.99
03/14/2014 10:00:00 AM;53.02;53.83
03/14/2014 11:00:00 AM;54.96;55.69
03/14/2014 12:00:00 PM;58.48;58.16
03/14/2014 01:00:00 PM;62.36;57.6
03/14/2014 02:00:00 PM;64.72;58.11
03/14/2014 03:00:00 PM;65.22;55.67
03/14/2014 04:00:00 PM;63.92;55.62
03/14/2014 05:00:00 PM;62.43;54.12
03/14/2014 06:00:00 PM;61.11;52.57
03/14/2014 07:00:00 PM;59.7;51.41
03/14/2014 08:00:00 PM;58.27;50.21
03/14/2014 09:00:00 PM;56.88;48.73
03/14/2014 10:00:00 PM;55.6;48.09
03/14/2014 11:00:00 PM;54.54;47.69
03/15/2014 12:00:00 AM;53.6;46.53
03/15/2014 01:00:00 AM;52.71;45.54
03/15/2014 02:00:00 AM;51.9;45.66
03/15/2014 03:00:00 AM;51.32;44.92
03/15/2014 04:00:00 AM;50.99;44.81
03/15/2014 05:00:00 AM;50.57;45.02
03/15/2014 06:00:00 AM;50.16;44.51
03/15/2014 07:00:00 AM;49.92;46.17
03/15/2014 08:00:00 AM;49.99;47.36
03/15/2014 09:00:00 AM;50.07;47.61
03/15/2014 10:00:00 AM;50.71;49.8
03/15/2014 11:00:00 AM;52.89;53.64
03/15/2014 12:00:00 PM;54.79;52.88
03/15/2014 01:00:00 PM;56.36;55.09
03/15/2014 02:00:00 PM;57.28;57.49
03/15/2014 03:00:00 PM;58.09;59.13
03/15/2014 04:00:00 PM;57.95;57.44
03/15/2014 05:00:00 PM;57.13;55.48
03/15/2014 06:00:00 PM;56.22;53.39
03/15/2014 07:00:00 PM;55.53;53.28
03/15/2014 08:00:00 PM;54.97;52.53
